x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
28,67,-25,2,world_the_end,28731168,,,,,,,,,,WATER,,
-13,89,-35,2,world_the_end,28732283,,,,,,,,,,WATER,,
-1622,62,-810,2,world_the_end,42053682,,,,,,,,,,WATER,,
-1599,79,-835,2,world_the_end,42065749,,,,,,,,,,COBBLESTONE_SLAB,,
-1607,79,-827,2,world_the_end,42071844,,,,,,,,,,WATER,,
-1604,98,-827,2,world_the_end,44071569,,,,,,,,,,COBBLESTONE_SLAB,,
-1604,97,-836,2,world_the_end,44075720,,,,,,,,,,WATER,,
-1613,97,-828,2,world_the_end,44076576,,,,,,,,,,WATER,,
-1622,62,-810,2,world_the_end,44096372,,,,,,,,,,WATER,,
-1619,62,-831,2,world_the_end,44101724,,,,,,,,,,WATER,,
-1606,61,-825,2,world_the_end,44102839,,,,,,,,,,WATER,,
-1600,60,-823,2,world_the_end,44104116,,,,,,,,,,WATER,,
-1610,60,-842,2,world_the_end,44104843,,,,,,,,,,WATER,,
