x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
262,1,3,1,world_the_end,14520390,,,,,,,Ender Pearl,,,,,
262,1,3,1,world_the_end,14520504,,,,,,,Ender Pearl,,,,,
262,1,3,1,world_the_end,14520586,,,,,,,Ender Pearl,,,,,
262,1,3,1,world_the_end,14520684,,,,,,,Ender Pearl,,,,,
262,1,3,1,world_the_end,14525079,,,,,,,Ender Pearl,,,,,
262,1,3,1,world_the_end,14525079,,,,,,,Ender Pearl,,,,,
264,1,3,1,world_the_end,17989542,,,,,,,Ender Pearl,,,,,
264,1,3,1,world_the_end,17989542,,,,,,,Ender Pearl,,,,,
264,1,3,1,world_the_end,17989542,,,,,,,Ender Pearl,,,,,
262,1,4,1,world_the_end,17990349,,,,,,,Ender Pearl,,,,,
263,0,4,1,world_the_end,17993749,,,,,,,Ender Pearl,,,,,
263,0,4,1,world_the_end,17993749,,,,,,,Ender Pearl,,,,,
262,1,3,1,world_the_end,18126287,,,,,,,Golden Leggings,,,,,
263,1,3,1,world_the_end,18126850,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,18126850,,,,,,,Ender Pearl,,,,,
263,0,4,1,world_the_end,18126926,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,18329976,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,18329976,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,18329976,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,18330312,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,26608171,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,26608171,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,26608171,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,26608433,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,26610197,,,,,,,Ender Pearl,,,,,
262,1,2,1,world_the_end,28764982,,,,,,,Ender Pearl,,,,,
261,1,2,1,world_the_end,28767459,,,,,,,Ender Pearl,,,,,
263,1,4,1,world_the_end,28767499,,,,,,,Ender Pearl,,,,,
263,1,4,1,world_the_end,28767499,,,,,,,Ender Pearl,,,,,
263,0,4,1,world_the_end,28768098,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,28768182,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34948492,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34948560,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34948560,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34948560,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34949118,,,,,,,Ender Pearl,,,,,
263,0,4,1,world_the_end,34949279,,,,,,,Ender Pearl,,,,,
263,0,4,1,world_the_end,34949484,,,,,,,Ender Pearl,,,,,
264,1,3,1,world_the_end,34949703,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34950635,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34951940,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34951940,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954124,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954148,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954168,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954186,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954203,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954203,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954232,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954249,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954266,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954284,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954303,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954322,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954339,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954359,,,,,,,Ender Pearl,,,,,
264,1,4,1,world_the_end,34954379,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954399,,,,,,,Ender Pearl,,,,,
264,0,4,1,world_the_end,34954399,,,,,,,Ender Pearl,,,,,
266,1,3,1,world_the_end,34954663,,,,,,,Ender Pearl,,,,,
266,1,3,1,world_the_end,34954682,,,,,,,Ender Pearl,,,,,
266,1,3,1,world_the_end,34954700,,,,,,,Ender Pearl,,,,,
266,1,3,1,world_the_end,34954717,,,,,,,Ender Pearl,,,,,
266,1,3,1,world_the_end,34954734,,,,,,,Ender Pearl,,,,,
266,1,3,1,world_the_end,34954752,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34969539,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34971335,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,34971865,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,40260804,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,40261457,,,,,,,Ender Pearl,,,,,
263,1,3,1,world_the_end,40264799,,,,,,,Ender Pearl,,,,,
