x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
100,45,0,8,world_the_end,18061488,,,,,,,,,,,,
102,42,2,8,world_the_end,18061516,,,,,,,,,,,,
102,41,2,8,world_the_end,18061556,,,,,,,,,,,,
105,0,2,8,world_the_end,18061654,,,,,,,,,,,,
110,1,0,8,world_the_end,18061700,,,,,,,,,,,,
118,1,0,8,world_the_end,18061771,,,,,,,,,,,,
127,1,0,8,world_the_end,18061798,,,,,,,,,,,,
136,1,0,8,world_the_end,18061823,,,,,,,,,,,,
147,1,0,8,world_the_end,18061854,,,,,,,,,,,,
177,1,0,8,world_the_end,18061938,,,,,,,,,,,,
189,0,0,8,world_the_end,18061972,,,,,,,,,,,,
227,0,0,8,world_the_end,18062084,,,,,,,,,,,,
238,1,0,8,world_the_end,18062115,,,,,,,,,,,,
255,0,0,8,world_the_end,18062177,,,,,,,,,,,,
260,1,0,8,world_the_end,18064543,,,,,,,,,,,,
259,1,1,8,world_the_end,18064855,,,,,,,,,,,,
262,1,0,8,world_the_end,18067956,,,,,,,,,,,,
256,0,0,8,world_the_end,18073315,,,,,,,,,,,,
262,1,0,8,world_the_end,18078827,,,,,,,,,,,,
259,1,-1,8,world_the_end,18079757,,,,,,,,,,,,
261,1,0,8,world_the_end,18083028,,,,,,,,,,,,
259,1,0,8,world_the_end,18090442,,,,,,,,,,,,
257,1,0,8,world_the_end,18095849,,,,,,,,,,,,
258,1,0,8,world_the_end,18097939,,,,,,,,,,,,
239,0,0,8,world_the_end,18098201,,,,,,,,,,,,
219,0,0,8,world_the_end,18098239,,,,,,,,,,,,
199,1,0,8,world_the_end,18098275,,,,,,,,,,,,
180,0,0,8,world_the_end,18098307,,,,,,,,,,,,
162,0,0,8,world_the_end,18098338,,,,,,,,,,,,
142,0,0,8,world_the_end,18098370,,,,,,,,,,,,
122,0,0,8,world_the_end,18098402,,,,,,,,,,,,
104,3,0,8,world_the_end,18098436,,,,,,,,,,,,
104,23,0,8,world_the_end,18098474,,,,,,,,,,,,
104,43,0,8,world_the_end,18098510,,,,,,,,,,,,
96,49,1,8,world_the_end,18098566,,,,,,,,,,,,
86,59,0,8,world_the_end,18098612,,,,,,,,,,,,
72,59,9,8,world_the_end,18098645,,,,,,,,,,,,
63,60,-2,8,world_the_end,18098684,,,,,,,,,,,,
53,63,6,8,world_the_end,18098731,,,,,,,,,,,,
35,63,11,8,world_the_end,18098764,,,,,,,,,,,,
16,63,12,8,world_the_end,18098795,,,,,,,,,,,,
3,63,-1,8,world_the_end,18098825,,,,,,,,,,,,
102,49,1,8,world_the_end,25099392,,,,,,,,,,,,
106,45,0,8,world_the_end,25099631,,,,,,,,,,,,
106,17,0,8,world_the_end,25099656,,,,,,,,,,,,
115,0,0,8,world_the_end,25099843,,,,,,,,,,,,
135,0,0,8,world_the_end,25099893,,,,,,,,,,,,
150,1,0,8,world_the_end,25099928,,,,,,,,,,,,
165,0,0,8,world_the_end,25099966,,,,,,,,,,,,
