x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
21,26,190,9,world_nether,16534059,NETHERRACK,,,,,,,,,,,
21,25,192,9,world_nether,16534925,NETHERRACK,,,,,,,,,,,
27,24,192,9,world_nether,16535464,NETHERRACK,,,,,,,,,,,
36,36,210,9,world_nether,16537957,COBBLESTONE,,,,,,,,,,,
36,36,210,9,world_nether,16538660,NETHERRACK,,,,,,,,,,,
37,35,209,9,world_nether,16539558,NETHERRACK,,,,,,,,,,,
38,34,209,9,world_nether,16540240,NETHERRACK,,,,,,,,,,,
38,34,209,9,world_nether,16540387,NETHERRACK,,,,,,,,,,,
41,33,209,9,world_nether,16541007,NETHERRACK,,,,,,,,,,,
39,31,209,9,world_nether,16541624,NETHERRACK,,,,,,,,,,,
46,27,209,9,world_nether,16542670,NETHERRACK,,,,,,,,,,,
49,25,209,9,world_nether,16543227,NETHERRACK,,,,,,,,,,,
50,23,208,9,world_nether,16543749,NETHERRACK,,,,,,,,,,,
47,18,209,9,world_nether,16544283,ANCIENT_DEBRIS,,,,,,,,,,,
50,14,207,9,world_nether,16545054,NETHERRACK,,,,,,,,,,,
-546,110,1,9,world_nether,18034877,NETHER_GOLD_ORE,,,,,,,,,,,
-548,109,3,9,world_nether,18035282,NETHERRACK,,,,,,,,,,,
-548,102,8,9,world_nether,18035569,NETHER_GOLD_ORE,,,,,,,,,,,
-539,98,9,9,world_nether,18036108,NETHERRACK,,,,,,,,,,,
-532,97,10,9,world_nether,18036627,NETHERRACK,,,,,,,,,,,
-524,95,10,9,world_nether,18036916,NETHERRACK,,,,,,,,,,,
-517,91,10,9,world_nether,18037189,NETHERRACK,,,,,,,,,,,
-516,89,17,9,world_nether,18037578,NETHERRACK,,,,,,,,,,,
-512,90,18,9,world_nether,18037868,NETHERRACK,,,,,,,,,,,
-512,90,24,9,world_nether,18038077,NETHER_GOLD_ORE,,,,,,,,,,,
-510,93,9,9,world_nether,18038921,NETHERRACK,,,,,,,,,,,
-508,97,5,9,world_nether,18039261,NETHERRACK,,,,,,,,,,,
-507,92,25,9,world_nether,18040108,NETHERRACK,,,,,,,,,,,
-499,92,25,9,world_nether,18040264,NETHERRACK,,,,,,,,,,,
-492,96,26,9,world_nether,18040798,NETHERRACK,,,,,,,,,,,
-487,101,26,9,world_nether,18041086,NETHERRACK,,,,,,,,,,,
-498,103,9,9,world_nether,18041595,NETHERRACK,,,,,,,,,,,
-491,109,8,9,world_nether,18041935,NETHERRACK,,,,,,,,,,,
-486,111,9,9,world_nether,18042111,NETHERRACK,,,,,,,,,,,
-485,111,15,9,world_nether,18042419,NETHERRACK,,,,,,,,,,,
-478,111,15,9,world_nether,18042555,NETHERRACK,,,,,,,,,,,
-471,111,19,9,world_nether,18042739,NETHERRACK,,,,,,,,,,,
-471,111,26,9,world_nether,18042850,NETHERRACK,,,,,,,,,,,
-509,103,18,9,world_nether,18043676,NETHER_GOLD_ORE,,,,,,,,,,,
173,82,11,9,world_nether,26269446,POLISHED_BLACKSTONE_BRICKS,,,,,,,,,,,
165,79,9,9,world_nether,26269731,POLISHED_BLACKSTONE_BRICKS,,,,,,,,,,,
-212,110,1,9,world_nether,26277208,NETHERRACK,,,,,,,,,,,
-541,109,11,9,world_nether,26278553,NETHERRACK,,,,,,,,,,,
-533,100,11,9,world_nether,26278871,NETHERRACK,,,,,,,,,,,
-527,93,11,9,world_nether,26279053,NETHERRACK,,,,,,,,,,,
-515,83,11,9,world_nether,26280041,NETHERRACK,,,,,,,,,,,
-509,77,11,9,world_nether,26280466,NETHERRACK,,,,,,,,,,,
-505,72,13,9,world_nether,26280635,NETHERRACK,,,,,,,,,,,
-505,66,20,9,world_nether,26280879,NETHERRACK,,,,,,,,,,,
-521,26,20,9,world_nether,26283921,MAGMA_BLOCK,,,,,,,,,,,
-529,24,20,9,world_nether,26284063,NETHERRACK,,,,,,,,,,,
-537,23,20,9,world_nether,26284161,NETHERRACK,,,,,,,,,,,
-545,20,20,9,world_nether,26284337,NETHERRACK,,,,,,,,,,,
-548,16,19,9,world_nether,26284506,NETHERRACK,,,,,,,,,,,
-550,11,16,9,world_nether,26284769,NETHERRACK,,,,,,,,,,,
0,110,-30,9,world_nether,26301035,BLACKSTONE,,,,,,,,,,,
-6,105,-30,9,world_nether,26301348,BLACKSTONE,,,,,,,,,,,
-12,99,-30,9,world_nether,26301569,NETHERRACK,,,,,,,,,,,
-20,92,-30,9,world_nether,26301857,BASALT,,,,,,,,,,,
-25,87,-28,9,world_nether,26302239,BASALT,,,,,,,,,,,
-25,82,-22,9,world_nether,26302521,BASALT,,,,,,,,,,,
-25,75,-15,9,world_nether,26302802,BASALT,,,,,,,,,,,
-31,70,-15,9,world_nether,26303028,NETHERRACK,,,,,,,,,,,
-34,63,-13,9,world_nether,26304167,BASALT,,,,,,,,,,,
-26,62,-13,9,world_nether,26304404,BASALT,,,,,,,,,,,
-24,60,-5,9,world_nether,26304683,BASALT,,,,,,,,,,,
-24,56,2,9,world_nether,26305077,BASALT,,,,,,,,,,,
-24,50,11,9,world_nether,26305363,BASALT,,,,,,,,,,,
-24,50,17,9,world_nether,26305615,NETHERRACK,,,,,,,,,,,
-17,44,19,9,world_nether,26306111,BASALT,,,,,,,,,,,
-17,38,25,9,world_nether,26306458,BASALT,,,,,,,,,,,
-543,110,11,9,world_nether,26317019,NETHERRACK,,,,,,,,,,,
