x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
171,92,7,0,world_nether,2702179,,SKELETON,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
83,48,226,0,world_nether,3678239,,ENDERMAN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
157,83,62,0,world_nether,3743931,,SKELETON,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
633,58,1049,0,world_nether,3800196,,BLAZE,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
211,57,-110,0,world_nether,4094850,,PIGLIN_BRUTE,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
218,58,-93,0,world_nether,4096315,,PIGLIN_BRUTE,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
297,67,-616,0,world_nether,4124453,,ENDERMAN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
300,66,-607,0,world_nether,4129661,,ENDERMAN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
300,66,-607,0,world_nether,4129683,,ENDERMAN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
306,70,-572,0,world_nether,4133791,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
306,70,-572,0,world_nether,4133918,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
306,70,-572,0,world_nether,4133854,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
306,70,-572,0,world_nether,4134122,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
306,70,-572,0,world_nether,4134162,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
306,70,-572,0,world_nether,4134162,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
305,70,-571,0,world_nether,4136392,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
305,70,-571,0,world_nether,4136867,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
305,70,-571,0,world_nether,4136514,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
305,70,-571,0,world_nether,4136392,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
305,70,-571,0,world_nether,4136822,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
305,70,-571,0,world_nether,4136631,,ZOMBIFIED_PIGLIN,ENTITY_SWEEP_ATTACK,IRON_SWORD,,,,,,,,
304,70,-571,0,world_nether,4137503,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
300,66,-607,0,world_nether,4144552,,ENDERMAN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
300,66,-607,0,world_nether,4145478,,ENDERMAN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
317,35,191,0,world_nether,4296737,,ENDERMAN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
317,35,190,0,world_nether,4299963,,ENDERMAN,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
-118,61,649,0,world_nether,13170473,,WITHER_SKELETON,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
-134,61,636,0,world_nether,13173370,,WITHER_SKELETON,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
2,77,165,0,world_nether,14764709,,BLAZE,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
-31,57,168,0,world_nether,17700666,,WITHER_SKELETON,ENTITY_ATTACK,IRON_SWORD,,,,,,,,
-37,73,159,0,world_nether,17713052,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-64,57,168,0,world_nether,17720811,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-68,58,167,0,world_nether,17726034,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-121,57,169,0,world_nether,17731842,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-87,57,185,0,world_nether,17733070,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-26,57,199,0,world_nether,17737472,,BLAZE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-63,57,153,0,world_nether,17740176,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-61,57,176,0,world_nether,17741738,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-76,53,153,0,world_nether,17743446,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-81,57,169,0,world_nether,17922009,,MAGMA_CUBE,ENTITY_SWEEP_ATTACK,NETHERITE_SWORD,,,,,,,,
-61,57,178,0,world_nether,17927500,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-71,57,171,0,world_nether,17929306,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-122,57,160,0,world_nether,17940174,,BLAZE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-21,58,142,0,world_nether,17945919,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-543,39,76,0,world_nether,28681355,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-102,57,168,0,world_nether,35681278,,BLAZE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-39,57,199,0,world_nether,35682645,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-40,57,161,0,world_nether,38706644,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-35,65,176,0,world_nether,38709950,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-28,57,161,0,world_nether,38712565,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-62,57,206,0,world_nether,38718217,,ZOMBIFIED_PIGLIN,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-67,57,172,0,world_nether,38718770,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-64,57,200,0,world_nether,38719312,,BLAZE,ENTITY_ATTACK,NETHERITE_AXE,,,,,,,,
3,65,160,0,world_nether,38721069,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-31,57,170,0,world_nether,38722442,,BLAZE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-77,57,171,0,world_nether,38723736,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-30,57,180,0,world_nether,38724589,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-12,57,151,0,world_nether,38726516,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-43,57,174,0,world_nether,38729633,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-6,65,159,0,world_nether,38735819,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-27,65,180,0,world_nether,38740911,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-31,65,168,0,world_nether,38742952,,WITHER_SKELETON,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-30,57,157,0,world_nether,38744598,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-25,65,164,0,world_nether,38747227,,MAGMA_CUBE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
-20,65,179,0,world_nether,38748103,,BLAZE,ENTITY_ATTACK,NETHERITE_SWORD,,,,,,,,
