x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-4,50,169,3,world_nether,11227705,,,,,,,Cobblestone,,,,,
-560,69,154,3,world_nether,11600325,,,,,,,Magma Block,,,,,
-82,64,650,3,world_nether,12877472,,,,,,,Cobblestone,,,,,
-348,15,-62,3,world_nether,14526503,,,,,,,Netherrack,,,,,
-88,68,704,3,world_nether,17974683,,,,,,,Arrow,,,,,
-156,67,716,3,world_nether,17994147,,,,,,,Nether Brick Fence,,,,,
-169,66,747,3,world_nether,18073498,,,,,,,Rotten Flesh,,,,,
677,37,144,3,world_nether,20320845,,,,,,,Shroomlight,,,,,
1989,50,143,3,world_nether,20378755,,,,,,,Warped Wart Block,,,,,
3136,97,143,3,world_nether,21154539,,,,,,,Soul Sand,,,,,
-75,15,235,3,world_nether,23419516,,,,,,,Light Gray Wool,,,,,
