x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-310,64,65,4,world_nether,17812926,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-311,57,63,4,world_nether,17813456,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-311,57,66,4,world_nether,17813617,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-311,56,67,4,world_nether,17813989,,,,,,,,,,,OBSIDIAN,RIGHT_CLICK_BLOCK
-310,76,74,4,world_nether,17815027,,,,,,,,,,,BASALT,RIGHT_CLICK_BLOCK
-309,75,74,4,world_nether,17815448,,,,,,,,,,,BASALT,RIGHT_CLICK_BLOCK
-316,71,74,4,world_nether,17815992,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-320,68,83,4,world_nether,17816921,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-309,72,77,4,world_nether,17817873,,,,,,,,,,,BASALT,RIGHT_CLICK_BLOCK
-310,71,73,4,world_nether,17818144,,,,,,,,,,,BASALT,RIGHT_CLICK_BLOCK
-312,72,74,4,world_nether,17818426,,,,,,,,,,,BASALT,RIGHT_CLICK_BLOCK
-304,62,83,4,world_nether,17827071,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-248,64,87,4,world_nether,17827808,,,,,,,,,,,BASALT,RIGHT_CLICK_AIR
-187,72,92,4,world_nether,17829232,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-181,72,92,4,world_nether,17829334,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-175,72,92,4,world_nether,17829426,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-169,72,92,4,world_nether,17829525,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-162,72,92,4,world_nether,17829667,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-154,72,92,4,world_nether,17829814,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-147,72,92,4,world_nether,17829930,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_AIR
-139,72,92,4,world_nether,17830065,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-120,72,92,4,world_nether,17830425,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-114,72,92,4,world_nether,17830509,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-104,72,92,4,world_nether,17830669,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_AIR
-94,72,92,4,world_nether,17830876,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-89,72,92,4,world_nether,17831014,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-78,72,92,4,world_nether,17831191,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-69,72,92,4,world_nether,17831455,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-34,77,80,4,world_nether,17832247,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-31,74,79,4,world_nether,17832574,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
26,70,46,4,world_nether,17833511,,,,,,,,,,,BASALT,RIGHT_CLICK_BLOCK
81,82,84,4,world_nether,17835359,,,,,,,,,,,NETHERRACK,RIGHT_CLICK_BLOCK
81,82,91,4,world_nether,17835439,,,,,,,,,,,NETHERRACK,RIGHT_CLICK_BLOCK
15,72,31,4,world_nether,17837597,,,,,,,,,,,NETHERRACK,RIGHT_CLICK_AIR
83,76,62,4,world_nether,17839159,,,,,,,,,,,NETHERRACK,LEFT_CLICK_BLOCK
70,79,50,4,world_nether,17839487,,,,,,,,,,,NETHERRACK,LEFT_CLICK_BLOCK
76,79,55,4,world_nether,17840337,,,,,,,,,,,NETHERRACK,LEFT_CLICK_BLOCK
39,78,61,4,world_nether,17844782,,,,,,,,,,,NETHERRACK,LEFT_CLICK_BLOCK
46,87,116,4,world_nether,17845582,,,,,,,,,,,NETHERRACK,LEFT_CLICK_AIR
46,87,124,4,world_nether,17845907,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
44,83,131,4,world_nether,17846073,,,,,,,,,,,NETHERRACK,RIGHT_CLICK_BLOCK
