x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
180,67,-22,18,world_nether,31798473,,,,,,,,,,,,
179,67,-19,18,world_nether,31799012,,,,,,,,,,,,
181,69,-22,18,world_nether,31799787,,,,,,,,,,,,
180,67,-20,18,world_nether,42336969,,,,,,,,,,,,
181,67,-17,18,world_nether,42337408,,,,,,,,,,,,
178,66,-10,18,world_nether,42337555,,,,,,,,,,,,
176,67,-5,18,world_nether,42337704,,,,,,,,,,,,
177,71,4,18,world_nether,42337864,,,,,,,,,,,,
176,76,4,18,world_nether,42338161,,,,,,,,,,,,
175,84,10,18,world_nether,42338413,,,,,,,,,,,,
180,85,8,18,world_nether,42338823,,,,,,,,,,,,
195,85,7,18,world_nether,42339471,,,,,,,,,,,,
202,84,-3,18,world_nether,42339763,,,,,,,,,,,,
211,87,-8,18,world_nether,42339869,,,,,,,,,,,,
204,86,-7,18,world_nether,42340087,,,,,,,,,,,,
208,87,-7,18,world_nether,42340178,,,,,,,,,,,,
222,86,-8,18,world_nether,42340243,,,,,,,,,,,,
219,85,-10,18,world_nether,42340329,,,,,,,,,,,,
212,84,-22,18,world_nether,42340609,,,,,,,,,,,,
216,84,-16,18,world_nether,42340875,,,,,,,,,,,,
219,86,-7,18,world_nether,42340971,,,,,,,,,,,,
212,88,-10,18,world_nether,42341122,,,,,,,,,,,,
215,89,-12,18,world_nether,42341238,,,,,,,,,,,,
215,89,-12,18,world_nether,42341413,,,,,,,,,,,,
221,88,-6,18,world_nether,42341491,,,,,,,,,,,,
236,87,-7,18,world_nether,42341578,,,,,,,,,,,,
232,86,-3,18,world_nether,42341709,,,,,,,,,,,,
231,83,9,18,world_nether,42341770,,,,,,,,,,,,
231,81,25,18,world_nether,42341847,,,,,,,,,,,,
237,80,23,18,world_nether,42342101,,,,,,,,,,,,
230,73,27,18,world_nether,42342563,,,,,,,,,,,,
233,71,28,18,world_nether,42342869,,,,,,,,,,,,
242,75,29,18,world_nether,42342959,,,,,,,,,,,,
255,75,32,18,world_nether,42343033,,,,,,,,,,,,
271,74,28,18,world_nether,42343110,,,,,,,,,,,,
280,78,26,18,world_nether,42343178,,,,,,,,,,,,
292,83,26,18,world_nether,42343269,,,,,,,,,,,,
308,84,29,18,world_nether,42343383,,,,,,,,,,,,
314,85,35,18,world_nether,42343455,,,,,,,,,,,,
317,91,44,18,world_nether,42343550,,,,,,,,,,,,
323,95,57,18,world_nether,42343715,,,,,,,,,,,,
330,99,66,18,world_nether,42343803,,,,,,,,,,,,
343,99,61,18,world_nether,42343902,,,,,,,,,,,,
345,94,68,18,world_nether,42344070,,,,,,,,,,,,
349,87,63,18,world_nether,42344125,,,,,,,,,,,,
358,83,58,18,world_nether,42344245,,,,,,,,,,,,
365,86,57,18,world_nether,42344427,,,,,,,,,,,,
374,93,62,18,world_nether,42344500,,,,,,,,,,,,
372,93,65,18,world_nether,42344607,,,,,,,,,,,,
383,93,63,18,world_nether,42344798,,,,,,,,,,,,
391,93,72,18,world_nether,42344877,,,,,,,,,,,,
396,93,66,18,world_nether,42344968,,,,,,,,,,,,
389,93,70,18,world_nether,42345126,,,,,,,,,,,,
402,94,63,18,world_nether,42345214,,,,,,,,,,,,
401,100,55,18,world_nether,42345358,,,,,,,,,,,,
415,103,58,18,world_nether,42345453,,,,,,,,,,,,
430,103,62,18,world_nether,42345535,,,,,,,,,,,,
434,102,75,18,world_nether,42345639,,,,,,,,,,,,
437,100,87,18,world_nether,42345717,,,,,,,,,,,,
448,99,95,18,world_nether,42345785,,,,,,,,,,,,
460,98,101,18,world_nether,42345878,,,,,,,,,,,,
475,99,102,18,world_nether,42346049,,,,,,,,,,,,
486,100,102,18,world_nether,42346115,,,,,,,,,,,,
498,103,99,18,world_nether,42346205,,,,,,,,,,,,
512,103,101,18,world_nether,42346256,,,,,,,,,,,,
522,103,103,18,world_nether,42346384,,,,,,,,,,,,
532,102,99,18,world_nether,42346479,,,,,,,,,,,,
539,100,98,18,world_nether,42346734,,,,,,,,,,,,
542,98,99,18,world_nether,42346843,,,,,,,,,,,,
554,101,102,18,world_nether,42346946,,,,,,,,,,,,
557,103,117,18,world_nether,42347089,,,,,,,,,,,,
557,100,130,18,world_nether,42347283,,,,,,,,,,,,
565,100,129,18,world_nether,42347504,,,,,,,,,,,,
571,99,120,18,world_nether,42347583,,,,,,,,,,,,
581,95,117,18,world_nether,42347893,,,,,,,,,,,,
587,88,123,18,world_nether,42348074,,,,,,,,,,,,
589,87,132,18,world_nether,42348234,,,,,,,,,,,,
596,90,127,18,world_nether,42348627,,,,,,,,,,,,
603,95,126,18,world_nether,42349069,,,,,,,,,,,,
613,95,119,18,world_nether,42349219,,,,,,,,,,,,
623,92,116,18,world_nether,42349292,,,,,,,,,,,,
633,95,111,18,world_nether,42349370,,,,,,,,,,,,
642,97,114,18,world_nether,42349449,,,,,,,,,,,,
653,98,114,18,world_nether,42349539,,,,,,,,,,,,
646,98,106,18,world_nether,42349671,,,,,,,,,,,,
655,97,116,18,world_nether,42349861,,,,,,,,,,,,
665,94,124,18,world_nether,42349928,,,,,,,,,,,,
680,93,122,18,world_nether,42350010,,,,,,,,,,,,
686,93,126,18,world_nether,42350095,,,,,,,,,,,,
696,91,130,18,world_nether,42350164,,,,,,,,,,,,
708,93,126,18,world_nether,42350412,,,,,,,,,,,,
710,97,138,18,world_nether,42350495,,,,,,,,,,,,
714,97,149,18,world_nether,42350583,,,,,,,,,,,,
712,90,155,18,world_nether,42350672,,,,,,,,,,,,
726,91,160,18,world_nether,42350749,,,,,,,,,,,,
732,94,168,18,world_nether,42350883,,,,,,,,,,,,
741,92,172,18,world_nether,42350948,,,,,,,,,,,,
755,94,166,18,world_nether,42351003,,,,,,,,,,,,
755,94,172,18,world_nether,42351216,,,,,,,,,,,,
755,92,189,18,world_nether,42351296,,,,,,,,,,,,
766,89,196,18,world_nether,42351416,,,,,,,,,,,,
770,86,195,18,world_nether,42351588,,,,,,,,,,,,
771,80,201,18,world_nether,42351771,,,,,,,,,,,,
774,74,201,18,world_nether,42351842,,,,,,,,,,,,
789,75,199,18,world_nether,42351921,,,,,,,,,,,,
799,72,190,18,world_nether,42352002,,,,,,,,,,,,
805,70,192,18,world_nether,42352086,,,,,,,,,,,,
815,69,180,18,world_nether,42352162,,,,,,,,,,,,
815,68,183,18,world_nether,42352341,,,,,,,,,,,,
818,61,193,18,world_nether,42352637,,,,,,,,,,,,
833,57,192,18,world_nether,42352728,,,,,,,,,,,,
845,58,188,18,world_nether,42352795,,,,,,,,,,,,
861,58,186,18,world_nether,42352861,,,,,,,,,,,,
870,57,181,18,world_nether,42353265,,,,,,,,,,,,
874,58,180,18,world_nether,42353420,,,,,,,,,,,,
875,56,175,18,world_nether,42353656,,,,,,,,,,,,
880,60,184,18,world_nether,42353733,,,,,,,,,,,,
894,61,187,18,world_nether,42353788,,,,,,,,,,,,
904,64,187,18,world_nether,42353843,,,,,,,,,,,,
909,63,202,18,world_nether,42353917,,,,,,,,,,,,
922,63,210,18,world_nether,42353992,,,,,,,,,,,,
929,61,221,18,world_nether,42354059,,,,,,,,,,,,
936,59,232,18,world_nether,42354121,,,,,,,,,,,,
947,58,239,18,world_nether,42354178,,,,,,,,,,,,
958,58,241,18,world_nether,42354260,,,,,,,,,,,,
975,59,244,18,world_nether,42354327,,,,,,,,,,,,
986,59,233,18,world_nether,42354409,,,,,,,,,,,,
985,59,223,18,world_nether,42354514,,,,,,,,,,,,
981,62,212,18,world_nether,42354734,,,,,,,,,,,,
987,60,203,18,world_nether,42354895,,,,,,,,,,,,
988,56,195,18,world_nether,42355077,,,,,,,,,,,,
999,61,192,18,world_nether,42355206,,,,,,,,,,,,
1012,59,187,18,world_nether,42355277,,,,,,,,,,,,
1022,57,193,18,world_nether,42355422,,,,,,,,,,,,
1035,55,201,18,world_nether,42355523,,,,,,,,,,,,
1045,57,195,18,world_nether,42355605,,,,,,,,,,,,
1061,58,192,18,world_nether,42355683,,,,,,,,,,,,
1076,58,195,18,world_nether,42355756,,,,,,,,,,,,
1084,57,198,18,world_nether,42355948,,,,,,,,,,,,
1078,60,207,18,world_nether,42356091,,,,,,,,,,,,
1080,60,217,18,world_nether,42356237,,,,,,,,,,,,
1086,60,224,18,world_nether,42356326,,,,,,,,,,,,
1085,60,225,18,world_nether,42356510,,,,,,,,,,,,
1079,60,209,18,world_nether,42356570,,,,,,,,,,,,
1071,59,198,18,world_nether,42356621,,,,,,,,,,,,
1069,57,184,18,world_nether,42356677,,,,,,,,,,,,
1072,57,166,18,world_nether,42356745,,,,,,,,,,,,
1075,57,151,18,world_nether,42356813,,,,,,,,,,,,
1076,56,143,18,world_nether,42356998,,,,,,,,,,,,
1073,53,139,18,world_nether,42357155,,,,,,,,,,,,
1071,57,143,18,world_nether,42357256,,,,,,,,,,,,
1057,57,143,18,world_nether,42357307,,,,,,,,,,,,
1044,53,139,18,world_nether,42357375,,,,,,,,,,,,
1041,48,149,18,world_nether,42357461,,,,,,,,,,,,
1042,42,152,18,world_nether,42357713,,,,,,,,,,,,
1049,35,155,18,world_nether,42357883,,,,,,,,,,,,
1051,40,148,18,world_nether,42358070,,,,,,,,,,,,
1058,39,144,18,world_nether,42358428,,,,,,,,,,,,
1078,39,144,18,world_nether,42358500,,,,,,,,,,,,
1098,39,144,18,world_nether,42358571,,,,,,,,,,,,
1118,39,144,18,world_nether,42358642,,,,,,,,,,,,
1137,39,143,18,world_nether,42358709,,,,,,,,,,,,
1156,39,143,18,world_nether,42358777,,,,,,,,,,,,
1176,39,143,18,world_nether,42358867,,,,,,,,,,,,
1195,39,144,18,world_nether,42358946,,,,,,,,,,,,
1214,39,143,18,world_nether,42359039,,,,,,,,,,,,
1203,39,144,18,world_nether,42359154,,,,,,,,,,,,
1185,39,143,18,world_nether,42359217,,,,,,,,,,,,
1165,39,143,18,world_nether,42359295,,,,,,,,,,,,
1145,39,143,18,world_nether,42359367,,,,,,,,,,,,
1126,39,144,18,world_nether,42359434,,,,,,,,,,,,
1107,39,143,18,world_nether,42359502,,,,,,,,,,,,
1087,39,143,18,world_nether,42359573,,,,,,,,,,,,
1067,39,143,18,world_nether,42359644,,,,,,,,,,,,
1047,39,143,18,world_nether,42359716,,,,,,,,,,,,
1027,39,143,18,world_nether,42359814,,,,,,,,,,,,
1007,39,143,18,world_nether,42359885,,,,,,,,,,,,
988,39,144,18,world_nether,42359954,,,,,,,,,,,,
969,39,143,18,world_nether,42360023,,,,,,,,,,,,
949,39,143,18,world_nether,42360094,,,,,,,,,,,,
929,39,143,18,world_nether,42360186,,,,,,,,,,,,
909,39,143,18,world_nether,42360280,,,,,,,,,,,,
889,39,143,18,world_nether,42360372,,,,,,,,,,,,
871,39,144,18,world_nether,42360441,,,,,,,,,,,,
852,39,143,18,world_nether,42360513,,,,,,,,,,,,
832,39,143,18,world_nether,42360609,,,,,,,,,,,,
821,39,138,18,world_nether,42360703,,,,,,,,,,,,
818,39,123,18,world_nether,42360801,,,,,,,,,,,,
816,45,111,18,world_nether,42360870,,,,,,,,,,,,
812,45,97,18,world_nether,42360925,,,,,,,,,,,,
825,44,96,18,world_nether,42360986,,,,,,,,,,,,
832,44,99,18,world_nether,42361473,,,,,,,,,,,,
821,45,95,18,world_nether,42361535,,,,,,,,,,,,
824,45,99,18,world_nether,42361639,,,,,,,,,,,,
815,45,105,18,world_nether,42361714,,,,,,,,,,,,
813,45,100,18,world_nether,42361826,,,,,,,,,,,,
810,45,91,18,world_nether,42361883,,,,,,,,,,,,
808,47,79,18,world_nether,42361984,,,,,,,,,,,,
811,48,69,18,world_nether,42362152,,,,,,,,,,,,
802,52,62,18,world_nether,42362229,,,,,,,,,,,,
805,52,59,18,world_nether,42362408,,,,,,,,,,,,
802,51,67,18,world_nether,42362497,,,,,,,,,,,,
812,47,74,18,world_nether,42362572,,,,,,,,,,,,
802,47,82,18,world_nether,42362665,,,,,,,,,,,,
798,50,85,18,world_nether,42362771,,,,,,,,,,,,
797,50,68,18,world_nether,42362908,,,,,,,,,,,,
794,49,54,18,world_nether,42362982,,,,,,,,,,,,
788,47,41,18,world_nether,42363057,,,,,,,,,,,,
784,47,44,18,world_nether,42363141,,,,,,,,,,,,
775,47,53,18,world_nether,42363217,,,,,,,,,,,,
765,47,65,18,world_nether,42363277,,,,,,,,,,,,
756,49,74,18,world_nether,42363340,,,,,,,,,,,,
746,54,82,18,world_nether,42363417,,,,,,,,,,,,
743,52,95,18,world_nether,42363489,,,,,,,,,,,,
746,52,109,18,world_nether,42363554,,,,,,,,,,,,
750,43,114,18,world_nether,42363807,,,,,,,,,,,,
751,41,115,18,world_nether,42364179,,,,,,,,,,,,
759,36,119,18,world_nether,42364259,,,,,,,,,,,,
757,35,136,18,world_nether,42364355,,,,,,,,,,,,
747,33,144,18,world_nether,42364440,,,,,,,,,,,,
728,33,143,18,world_nether,42364509,,,,,,,,,,,,
709,35,143,18,world_nether,42364585,,,,,,,,,,,,
692,37,144,18,world_nether,42364657,,,,,,,,,,,,
672,37,144,18,world_nether,42364735,,,,,,,,,,,,
653,37,144,18,world_nether,42364803,,,,,,,,,,,,
635,37,144,18,world_nether,42364867,,,,,,,,,,,,
615,37,143,18,world_nether,42364938,,,,,,,,,,,,
597,40,143,18,world_nether,42364998,,,,,,,,,,,,
579,39,144,18,world_nether,42365063,,,,,,,,,,,,
560,39,143,18,world_nether,42365131,,,,,,,,,,,,
540,39,143,18,world_nether,42365202,,,,,,,,,,,,
522,39,143,18,world_nether,42365267,,,,,,,,,,,,
503,38,143,18,world_nether,42365347,,,,,,,,,,,,
483,38,143,18,world_nether,42365417,,,,,,,,,,,,
465,38,143,18,world_nether,42365513,,,,,,,,,,,,
447,38,143,18,world_nether,42365578,,,,,,,,,,,,
435,45,143,18,world_nether,42365698,,,,,,,,,,,,
418,48,143,18,world_nether,42365779,,,,,,,,,,,,
399,48,144,18,world_nether,42365847,,,,,,,,,,,,
379,48,144,18,world_nether,42365918,,,,,,,,,,,,
359,48,144,18,world_nether,42365990,,,,,,,,,,,,
339,48,144,18,world_nether,42366061,,,,,,,,,,,,
319,48,144,18,world_nether,42366132,,,,,,,,,,,,
300,48,144,18,world_nether,42366201,,,,,,,,,,,,
282,48,144,18,world_nether,42366296,,,,,,,,,,,,
266,48,144,18,world_nether,42366393,,,,,,,,,,,,
246,48,144,18,world_nether,42366443,,,,,,,,,,,,
227,48,143,18,world_nether,42366490,,,,,,,,,,,,
207,48,143,18,world_nether,42366554,,,,,,,,,,,,
187,48,143,18,world_nether,42366604,,,,,,,,,,,,
168,48,143,18,world_nether,42366688,,,,,,,,,,,,
148,48,144,18,world_nether,42366901,,,,,,,,,,,,
128,48,143,18,world_nether,42367032,,,,,,,,,,,,
113,50,144,18,world_nether,42367102,,,,,,,,,,,,
100,55,144,18,world_nether,42367180,,,,,,,,,,,,
81,55,143,18,world_nether,42367267,,,,,,,,,,,,
71,63,144,18,world_nether,42367358,,,,,,,,,,,,
57,68,144,18,world_nether,42367471,,,,,,,,,,,,
45,75,143,18,world_nether,42367583,,,,,,,,,,,,
35,85,143,18,world_nether,42367683,,,,,,,,,,,,
17,86,143,18,world_nether,42367760,,,,,,,,,,,,
-3,86,143,18,world_nether,42367832,,,,,,,,,,,,
-22,86,144,18,world_nether,42367900,,,,,,,,,,,,
-41,86,143,18,world_nether,42368398,,,,,,,,,,,,
-59,86,143,18,world_nether,42368465,,,,,,,,,,,,
-79,86,143,18,world_nether,42368537,,,,,,,,,,,,
-99,86,143,18,world_nether,42368608,,,,,,,,,,,,
-119,86,143,18,world_nether,42368680,,,,,,,,,,,,
-139,86,143,18,world_nether,42368759,,,,,,,,,,,,
-148,77,144,18,world_nether,42368843,,,,,,,,,,,,
-157,68,144,18,world_nether,42368934,,,,,,,,,,,,
-174,66,143,18,world_nether,42369007,,,,,,,,,,,,
-194,66,143,18,world_nether,42369078,,,,,,,,,,,,
-213,66,143,18,world_nether,42369147,,,,,,,,,,,,
-233,66,143,18,world_nether,42369218,,,,,,,,,,,,
-252,66,144,18,world_nether,42369286,,,,,,,,,,,,
-266,61,144,18,world_nether,42369392,,,,,,,,,,,,
-286,61,144,18,world_nether,42369469,,,,,,,,,,,,
-304,61,144,18,world_nether,42369545,,,,,,,,,,,,
-316,64,143,18,world_nether,42369661,,,,,,,,,,,,
-311,62,145,18,world_nether,42373234,,,,,,,,,,,,
-295,61,144,18,world_nether,42373277,,,,,,,,,,,,
-275,61,144,18,world_nether,42373376,,,,,,,,,,,,
-260,66,144,18,world_nether,42373466,,,,,,,,,,,,
-240,66,144,18,world_nether,42373538,,,,,,,,,,,,
-220,66,144,18,world_nether,42373610,,,,,,,,,,,,
-200,66,144,18,world_nether,42373681,,,,,,,,,,,,
-180,66,143,18,world_nether,42373753,,,,,,,,,,,,
-161,66,144,18,world_nether,42373849,,,,,,,,,,,,
-150,75,144,18,world_nether,42373946,,,,,,,,,,,,
-140,85,144,18,world_nether,42374046,,,,,,,,,,,,
-121,86,144,18,world_nether,42374120,,,,,,,,,,,,
-101,86,144,18,world_nether,42374192,,,,,,,,,,,,
-81,86,144,18,world_nether,42374263,,,,,,,,,,,,
-61,86,144,18,world_nether,42374334,,,,,,,,,,,,
-42,86,143,18,world_nether,42374402,,,,,,,,,,,,
-23,86,143,18,world_nether,42374486,,,,,,,,,,,,
-3,86,143,18,world_nether,42374558,,,,,,,,,,,,
11,86,144,18,world_nether,42374650,,,,,,,,,,,,
30,86,143,18,world_nether,42374719,,,,,,,,,,,,
