x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
144,89,-17,0,world_nether,3624255,,,,ARROW,GHAST,,,,,,,
-102,57,143,0,world_nether,3669856,,,,ARROW,BLAZE,,,,,,,
841,69,969,0,world_nether,3771331,,,,ARROW,HOGLIN,,,,,,,
635,55,1058,0,world_nether,3796610,,,,ARROW,BLAZE,,,,,,,
636,55,1060,0,world_nether,3798013,,,,ARROW,BLAZE,,,,,,,
183,36,219,0,world_nether,3821896,,,,ARROW,GHAST,,,,,,,
224,56,-128,0,world_nether,4081094,,,,ARROW,HOGLIN,,,,,,,
243,39,-125,0,world_nether,4088855,,,,ARROW,HOGLIN,,,,,,,
295,67,-615,0,world_nether,4121569,,,,ARROW,ENDERMAN,,,,,,,
306,70,-571,0,world_nether,4135451,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
137,90,-20,0,world_nether,4382717,,,,ARROW,FIREBALL,,,,,,,
-517,35,85,0,world_nether,13179005,,,,ARROW,GHAST,,,,,,,
-63,57,175,0,world_nether,17696939,,,,ARROW,BLAZE,,,,,,,
-68,61,163,0,world_nether,17733606,,,,ARROW,BLAZE,,,,,,,
-65,57,167,0,world_nether,17927141,,,,ARROW,BLAZE,,,,,,,
-59,57,176,0,world_nether,17948376,,,,ARROW,BLAZE,,,,,,,
-248,34,106,0,world_nether,28711666,,,,ARROW,MAGMA_CUBE,,,,,,,
-36,57,190,0,world_nether,35682409,,,,ARROW,MAGMA_CUBE,,,,,,,
-35,65,161,0,world_nether,38714779,,,,ARROW,BLAZE,,,,,,,
-69,57,178,0,world_nether,38723522,,,,ARROW,MAGMA_CUBE,,,,,,,
-42,57,178,0,world_nether,38728046,,,,ARROW,BLAZE,,,,,,,
-34,57,182,0,world_nether,38732068,,,,ARROW,BLAZE,,,,,,,
-45,57,167,0,world_nether,38734886,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
-43,57,164,0,world_nether,38738962,,,,ARROW,BLAZE,,,,,,,
-50,63,189,0,world_nether,38740269,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
-45,57,184,0,world_nether,38742399,,,,ARROW,BLAZE,,,,,,,
-15,57,134,0,world_nether,38745876,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
-32,65,168,0,world_nether,38747912,,,,ARROW,MAGMA_CUBE,,,,,,,
-39,57,191,0,world_nether,38749382,,,,ARROW,BLAZE,,,,,,,
-30,65,172,0,world_nether,38756916,,,,ARROW,BLAZE,,,,,,,
-19,57,168,0,world_nether,38758153,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
-46,57,181,0,world_nether,38759112,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
-25,57,170,0,world_nether,38759944,,,,ARROW,ZOMBIFIED_PIGLIN,,,,,,,
-20,57,137,0,world_nether,38761647,,,,ARROW,MAGMA_CUBE,,,,,,,
-43,57,162,0,world_nether,38762208,,,,ARROW,BLAZE,,,,,,,
