x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-326,75,-45,40,world,28305863,OAK_LOG,,,,,,,,,,,
-344,73,-42,40,world,28306533,OAK_LOG,,,,,,,,,,,
-553,63,-69,40,world,28308771,SUGAR_CANE,,,,,,,,,,,
-552,63,-63,40,world,28309178,SAND,,,,,,,,,,,
-559,63,-62,40,world,28309429,SAND,,,,,,,,,,,
-553,63,-65,40,world,28311002,SAND,,,,,,,,,,,
-560,63,-24,40,world,28313095,SAND,,,,,,,,,,,
-562,63,-27,40,world,28313445,SAND,,,,,,,,,,,
-627,69,-58,40,world,28321489,OAK_LEAVES,,,,,,,,,,,
-628,70,47,40,world,28325073,OAK_LOG,,,,,,,,,,,
-573,70,-10,40,world,28345914,OAK_LEAVES,,,,,,,,,,,
-568,73,-10,40,world,28346328,OAK_LOG,,,,,,,,,,,
-572,62,-21,40,world,28346898,STONE,,,,,,,,,,,
-574,59,-21,40,world,28347239,STONE,,,,,,,,,,,
-552,63,-65,40,world,28349322,OAK_PLANKS,,,,,,,,,,,
-557,63,-69,40,world,28355604,OAK_PLANKS,,,,,,,,,,,
