x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-173,67,-7,10,world,4404354,,,,,,,,,,,,
-173,67,-7,10,world,4404254,,,,,,,,,,,,
-173,67,-7,10,world,4404274,,,,,,,,,,,,
-173,67,-7,10,world,4404290,,,,,,,,,,,,
-173,67,-7,10,world,4500838,,,,,,,,,,,,
-172,67,-7,10,world,4884367,,,,,,,,,,,,
-171,71,-5,10,world,4980336,,,,,,,,,,,,
-171,71,-5,10,world,4980454,,,,,,,,,,,,
-173,71,-7,10,world,5029240,,,,,,,,,,,,
-4788,63,-408,10,world,8721120,,,,,,,,,,,,
-4788,63,-408,10,world,8721382,,,,,,,,,,,,
-4788,63,-408,10,world,8721422,,,,,,,,,,,,
-4788,63,-408,10,world,8721326,,,,,,,,,,,,
-4788,63,-408,10,world,8721258,,,,,,,,,,,,
-4423,64,1181,10,world,10142095,,,,,,,,,,,,
-2508,65,-1441,10,world,11801526,,,,,,,,,,,,
-4377,70,1108,10,world,15785947,,,,,,,,,,,,
-4375,70,1108,10,world,17774112,,,,,,,,,,,,
