x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-2472,64,599,0,world,18111049,,,,,,,,,,WATER_BUCKET,,
-2432,129,461,0,world,21434240,,,,,,,,,,WATER_BUCKET,,
-2431,72,435,0,world,21589556,,,,,,,,,,WATER_BUCKET,,
-2418,153,456,0,world,21711426,,,,,,,,,,WATER_BUCKET,,
-2438,66,463,0,world,22640279,,,,,,,,,,WATER_BUCKET,,
-2414,156,457,0,world,23211651,,,,,,,,,,WATER_BUCKET,,
-2410,157,451,0,world,26464669,,,,,,,,,,WATER_BUCKET,,
-2416,156,449,0,world,26494391,,,,,,,,,,WATER_BUCKET,,
-2417,156,448,0,world,26498377,,,,,,,,,,WATER_BUCKET,,
-2406,157,443,0,world,26499077,,,,,,,,,,WATER_BUCKET,,
-2412,72,447,0,world,26621943,,,,,,,,,,WATER_BUCKET,,
-2448,156,444,0,world,26661989,,,,,,,,,,WATER_BUCKET,,
-2450,156,454,0,world,26663132,,,,,,,,,,WATER_BUCKET,,
-2454,156,420,0,world,26865905,,,,,,,,,,WATER_BUCKET,,
-2447,156,414,0,world,26866260,,,,,,,,,,WATER_BUCKET,,
-2455,156,407,0,world,26866607,,,,,,,,,,WATER_BUCKET,,
-2412,156,422,0,world,26917756,,,,,,,,,,WATER_BUCKET,,
-2406,156,417,0,world,26918115,,,,,,,,,,WATER_BUCKET,,
-2411,156,407,0,world,26918468,,,,,,,,,,WATER_BUCKET,,
-2418,156,417,0,world,26918841,,,,,,,,,,WATER_BUCKET,,
-2490,156,454,0,world,27036444,,,,,,,,,,WATER_BUCKET,,
-2483,156,448,0,world,27038151,,,,,,,,,,WATER_BUCKET,,
-2493,156,443,0,world,27038435,,,,,,,,,,WATER_BUCKET,,
-2494,78,449,0,world,27074929,,,,,,,,,,WATER_BUCKET,,
-2369,78,449,0,world,27964740,,,,,,,,,,WATER_BUCKET,,
-2379,156,453,0,world,28045227,,,,,,,,,,WATER_BUCKET,,
-2372,156,445,0,world,28045772,,,,,,,,,,WATER_BUCKET,,
-2385,156,442,0,world,28046070,,,,,,,,,,WATER_BUCKET,,
-2409,78,416,0,world,28063773,,,,,,,,,,WATER_BUCKET,,
-2455,78,415,0,world,28083705,,,,,,,,,,WATER_BUCKET,,
-2373,156,420,0,world,28206862,,,,,,,,,,WATER_BUCKET,,
-2379,156,410,0,world,28207451,,,,,,,,,,WATER_BUCKET,,
-2484,156,420,0,world,28317075,,,,,,,,,,WATER_BUCKET,,
-2488,156,410,0,world,28317649,,,,,,,,,,WATER_BUCKET,,
-2452,77,484,0,world,28816314,,,,,,,,,,WATER_BUCKET,,
-2485,156,476,0,world,29963007,,,,,,,,,,WATER_BUCKET,,
-2494,156,486,0,world,29963478,,,,,,,,,,WATER_BUCKET,,
-2483,156,483,0,world,29963872,,,,,,,,,,WATER_BUCKET,,
-2453,156,489,0,world,29967945,,,,,,,,,,WATER_BUCKET,,
-2447,156,478,0,world,29968422,,,,,,,,,,WATER_BUCKET,,
-2413,156,489,0,world,29970494,,,,,,,,,,WATER_BUCKET,,
-2412,156,479,0,world,29970971,,,,,,,,,,WATER_BUCKET,,
-2381,156,477,0,world,29972490,,,,,,,,,,WATER_BUCKET,,
-3464,49,1781,0,world,30155635,,,,,,,,,,WATER_BUCKET,,
-3459,50,1795,0,world,30156301,,,,,,,,,,WATER_BUCKET,,
-3455,53,1792,0,world,30156908,,,,,,,,,,WATER_BUCKET,,
