x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-4402,59,1141,6,world,19275748,,,,,,,,,,WATER,,
-4404,59,1140,6,world,19277148,,,,,,,,,,WATER,,
-4403,59,1134,6,world,19340449,,,,,,,,,,WATER,,
-4407,59,1125,6,world,19340977,,,,,,,,,,WATER,,
-4402,59,1126,6,world,19342164,,,,,,,,,,WATER,,
-4408,59,1123,6,world,19343471,,,,,,,,,,WATER,,
-4416,59,1135,6,world,19514284,,,,,,,,,,WATER,,
-4418,59,1143,6,world,19514797,,,,,,,,,,WATER,,
-4427,59,1146,6,world,19515384,,,,,,,,,,WATER,,
-4428,59,1137,6,world,19515950,,,,,,,,,,WATER,,
-4429,59,1132,6,world,19516345,,,,,,,,,,WATER,,
-4424,59,1130,6,world,19516983,,,,,,,,,,WATER,,
-4429,59,1127,6,world,19517679,,,,,,,,,,WATER,,
-4422,59,1121,6,world,19518331,,,,,,,,,,WATER,,
-4398,3,1010,6,world,19683364,,,,,,,,,,WATER,,
-4295,60,1104,6,world,21256273,,,,,,,,,,WATER,,
-4282,84,1108,6,world,21373676,,,,,,,,,,WATER,,
-4284,84,1109,6,world,21375508,,,,,,,,,,WATER,,
-4284,84,1109,6,world,21379619,,,,,,,,,,WATER,,
-4282,84,1107,6,world,21381305,,,,,,,,,,WATER,,
-4283,84,1127,6,world,21383247,,,,,,,,,,WATER,,
-4282,48,1121,6,world,21465442,,,,,,,,,,WATER,,
-4277,47,1118,6,world,21466756,,,,,,,,,,WATER,,
-4375,61,1110,6,world,26257127,,,,,,,,,,WATER,,
-4281,9,1102,6,world,26472951,,,,,,,,,,WATER,,
-4376,5,1108,6,world,28522536,,,,,,,,,,WATER,,
-4372,5,1102,6,world,28525252,,,,,,,,,,WATER,,
-4376,2,1100,6,world,28527262,,,,,,,,,,WATER,,
-4371,5,1107,6,world,28595325,,,,,,,,,,WATER,,
-4384,10,1113,6,world,28598438,,,,,,,,,,WATER,,
-4379,10,1110,6,world,28599817,,,,,,,,,,WATER,,
-4381,9,1111,6,world,28601239,,,,,,,,,,WATER,,
-4378,8,1109,6,world,28603886,,,,,,,,,,WATER,,
-4375,7,1111,6,world,28605563,,,,,,,,,,WATER,,
-4379,7,1112,6,world,28607336,,,,,,,,,,WATER,,
-4267,3,1144,6,world,30278735,,,,,,,,,,WATER,,
-4267,5,1142,6,world,30409100,,,,,,,,,,WATER,,
-4272,7,1147,6,world,30412444,,,,,,,,,,WATER,,
-4273,6,1147,6,world,30414781,,,,,,,,,,WATER,,
-4268,62,1143,6,world,33396532,,,,,,,,,,WATER,,
-4372,7,1111,6,world,39234191,,,,,,,,,,LAVA,,
