x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-636,53,116,6,world,11788991,,,,,,world_nether,,,,,,
-636,53,116,6,world,12259735,,,,,,world_nether,,,,,,
-636,53,116,6,world,12389249,,,,,,world_nether,,,,,,
-630,54,132,6,world,12595147,,,,,,world_the_end,,,,,,
-635,53,116,6,world,15685012,,,,,,world_nether,,,,,,
-636,53,116,6,world,15823451,,,,,,world_nether,,,,,,
340,35,1450,6,world,17577188,,,,,,world_nether,,,,,,
-635,53,116,6,world,19426839,,,,,,world_nether,,,,,,
-4429,67,1147,6,world,28618286,,,,,,world_nether,,,,,,
-4377,60,1106,6,world,33754974,,,,,,world_nether,,,,,,
-4375,61,1110,6,world,36571434,,,,,,world_nether,,,,,,
-29,67,2041,6,world,40998759,,,,,,world_nether,,,,,,
-636,53,116,6,world,42197962,,,,,,world_nether,,,,,,
-4377,60,1106,6,world,42310792,,,,,,world_the_end,,,,,,
-4374,61,1110,6,world,42650018,,,,,,world_nether,,,,,,
340,35,1450,6,world,44076906,,,,,,world_nether,,,,,,
-4091,77,-1736,6,world,44499024,,,,,,world_nether,,,,,,
340,35,1450,6,world,45534408,,,,,,world_nether,,,,,,
-2409,162,-1313,6,world,46273374,,,,,,world_nether,,,,,,
