x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-310,63,26,14,world,15647390,,,,,,,,,,,,
-311,63,26,14,world,15664861,,,,,,,,,,,,
-314,62,25,14,world,15669607,,,,,,,,,,,,
-315,63,31,14,world,15673876,,,,,,,,,,,,
-311,64,45,14,world,28473602,,,,,,,,,,,,
-313,64,32,14,world,34780863,,,,,,,,,,,,
-305,67,53,14,world,34941252,,,,,,,,,,,,
-328,69,49,14,world,35444378,,,,,,,,,,,,
-330,65,44,14,world,35473151,,,,,,,,,,,,
-319,64,40,14,world,35514543,,,,,,,,,,,,
-327,11,113,14,world,35528221,,,,,,,,,,,,
-318,64,42,14,world,35553890,,,,,,,,,,,,
-317,64,39,14,world,35614155,,,,,,,,,,,,
-282,23,144,14,world,36422097,,,,,,,,,,,,
-318,64,38,14,world,37014286,,,,,,,,,,,,
-298,67,51,14,world,37034450,,,,,,,,,,,,
-296,67,51,14,world,37035911,,,,,,,,,,,,
-295,68,54,14,world,37139792,,,,,,,,,,,,
-324,64,48,14,world,39230535,,,,,,,,,,,,
-313,63,23,14,world,40891896,,,,,,,,,,,,
-312,62,28,14,world,40896634,,,,,,,,,,,,
-315,60,24,14,world,40897374,,,,,,,,,,,,
-257,41,16,14,world,40923187,,,,,,,,,,,,
