x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-293,71,-85,10,world,3823506,,,,,,,Rotten Flesh,,,,,
-4363,68,1085,10,world,10773159,,,,,,,Iron Axe,,,,,
-37,30,2002,10,world,17747154,,,,,,,Cobblestone,,,,,
-4329,70,1029,10,world,19271959,,,,,,,Stone Brick Stairs,,,,,
-4326,63,1244,10,world,19509344,,,,,,,Diamond Sword,,,,,
-4297,85,1032,10,world,20970055,,,,,,,Dark Oak Slab,,,,,
-4297,85,1035,10,world,20980755,,,,,,,Stone Brick Stairs,,,,,
-5105,29,1359,10,world,21162132,,,,,,,Bone,,,,,
-5148,36,1366,10,world,21171713,,,,,,,Rotten Flesh,,,,,
-5184,30,1292,10,world,21199460,,,,,,,Cobblestone,,,,,
-4296,84,1009,10,world,21330745,,,,,,,Snowball,,,,,
-4296,84,1009,10,world,21330954,,,,,,,Snowball,,,,,
-4296,84,1009,10,world,21331106,,,,,,,Snowball,,,,,
-4367,65,1108,10,world,21579835,,,,,,,Ender Pearl,,,,,
-4301,63,1273,10,world,21654881,,,,,,,Bread,,,,,
-4300,63,1272,10,world,21656231,,,,,,,Bread,,,,,
-4246,68,1097,10,world,23376495,,,,,,,Dirt,,,,,
-4246,68,1097,10,world,23376529,,,,,,,Dirt,,,,,
-4246,68,1097,10,world,23376562,,,,,,,Dirt,,,,,
-4256,70,1088,10,world,23431153,,,,,,,Birch Planks,,,,,
-76,66,-8,10,world,25113314,,,,,,,Stone Axe,,,,,
-4300,85,1035,10,world,25142375,,,,,,,Cobblestone,,,,,
-4300,85,1035,10,world,25142407,,,,,,,Cobblestone,,,,,
-4304,68,1270,10,world,26691305,,,,,,,Bread,,,,,
-4298,63,1272,10,world,26692823,,,,,,,Bread,,,,,
-4297,69,1269,10,world,26730507,,,,,,,Bread,,,,,
-4297,72,1265,10,world,26760720,,,,,,,Torch,,,,,
-4416,70,1174,10,world,46141518,,,,,,,Cobblestone,,,,,
