x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-205,66,41,10,world,19368325,,,,,,,,,,,AIR,LEFT_CLICK_AIR
-153,64,81,10,world,19368679,,,,,,,,,,,AIR,LEFT_CLICK_AIR
-217,42,192,10,world,19370840,,,,,,,,,,,AIR,RIGHT_CLICK_BLOCK
-217,42,192,10,world,19371419,,,,,,,,,,,AIR,RIGHT_CLICK_BLOCK
-220,62,171,10,world,19392822,,,,,,,,,,,BIRCH_BOAT,RIGHT_CLICK_BLOCK
-217,42,192,10,world,19398558,,,,,,,,,,,COOKED_BEEF,RIGHT_CLICK_BLOCK
-222,63,173,10,world,19399012,,,,,,,,,,,FISHING_ROD,RIGHT_CLICK_AIR
-423,73,148,10,world,19404502,,,,,,,,,,,COOKED_BEEF,RIGHT_CLICK_BLOCK
-455,108,119,10,world,19411631,,,,,,,,,,,ENDER_PEARL,LEFT_CLICK_AIR
-474,66,187,10,world,19417139,,,,,,,,,,,COOKED_BEEF,RIGHT_CLICK_BLOCK
-632,54,130,10,world,19418667,,,,,,,,,,,COOKED_BEEF,RIGHT_CLICK_BLOCK
-630,66,365,10,world,19431086,,,,,,,,,,,AIR,LEFT_CLICK_BLOCK
-628,70,403,10,world,19431339,,,,,,,,,,,AIR,LEFT_CLICK_BLOCK
-627,64,487,10,world,19431905,,,,,,,,,,,BAMBOO,LEFT_CLICK_AIR
-623,63,487,10,world,19432165,,,,,,,,,,,DIAMOND_SWORD,LEFT_CLICK_AIR
-618,64,492,10,world,19432633,,,,,,,,,,,DIAMOND_SWORD,LEFT_CLICK_AIR
-623,63,480,10,world,19440014,,,,,,,,,,,AIR,LEFT_CLICK_BLOCK
-635,64,474,10,world,19440744,,,,,,,,,,,BAMBOO,LEFT_CLICK_BLOCK
-4364,76,1218,10,world,19453371,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_BLOCK
-4364,69,1216,10,world,19453676,,,,,,,,,,,DIAMOND_PICKAXE,LEFT_CLICK_AIR
-210,63,-4,10,world,19457379,,,,,,,,,,,COOKED_BEEF,RIGHT_CLICK_AIR
-152,64,-9,10,world,19457896,,,,,,,,,,,BAMBOO,RIGHT_CLICK_BLOCK
-164,68,-10,10,world,19457991,,,,,,,,,,,BAMBOO,RIGHT_CLICK_BLOCK
-150,63,16,10,world,19458097,,,,,,,,,,,AIR,LEFT_CLICK_AIR
7638,63,8050,10,world,19475030,,,,,,,,,,,COOKED_MUTTON,LEFT_CLICK_AIR
7736,64,7817,10,world,19476128,,,,,,,,,,,AIR,RIGHT_CLICK_BLOCK
7738,64,7820,10,world,19476537,,,,,,,,,,,AIR,RIGHT_CLICK_BLOCK
7738,64,7820,10,world,19476679,,,,,,,,,,,AIR,RIGHT_CLICK_BLOCK
7736,64,7826,10,world,19479136,,,,,,,,,,,CHEST,LEFT_CLICK_AIR
7737,64,7821,10,world,19479565,,,,,,,,,,,AIR,LEFT_CLICK_BLOCK
7736,64,7820,10,world,19479674,,,,,,,,,,,CRIMSON_ROOTS,LEFT_CLICK_AIR
