x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-80,66,4,41,world,30477864,,,,,,,,,,,,
-82,66,17,41,world,30477942,,,,,,,,,,,,
-83,67,30,41,world,30478255,,,,,,,,,,,,
-84,69,53,41,world,30478507,,,,,,,,,,,,
-84,69,59,41,world,30479220,,,,,,,,,,,,
-90,64,74,41,world,30479304,,,,,,,,,,,,
-92,64,85,41,world,30479355,,,,,,,,,,,,
-90,64,89,41,world,30479482,,,,,,,,,,,,
-91,65,68,41,world,30479602,,,,,,,,,,,,
-84,66,21,41,world,30479872,,,,,,,,,,,,
-73,66,4,41,world,30479965,,,,,,,,,,,,
-60,66,-7,41,world,30480028,,,,,,,,,,,,
-54,64,-12,41,world,30480059,,,,,,,,,,,,
-42,64,-18,41,world,30480146,,,,,,,,,,,,
-22,64,-25,41,world,30480334,,,,,,,,,,,,
-14,63,-24,41,world,30480364,,,,,,,,,,,,
-7,63,-26,41,world,30480394,,,,,,,,,,,,
6,64,-33,41,world,30480449,,,,,,,,,,,,
20,65,-40,41,world,30480503,,,,,,,,,,,,
35,65,-60,41,world,30480596,,,,,,,,,,,,
42,65,-60,41,world,30480620,,,,,,,,,,,,
58,64,-64,41,world,30480694,,,,,,,,,,,,
433,62,-113,41,world,30481734,,,,,,,,,,,,
438,64,-113,41,world,30481881,,,,,,,,,,,,
439,66,-112,41,world,30481947,,,,,,,,,,,,
449,71,-105,41,world,30483094,,,,,,,,,,,,
473,68,-102,41,world,30483185,,,,,,,,,,,,
481,69,-104,41,world,30483214,,,,,,,,,,,,
491,69,-107,41,world,30483252,,,,,,,,,,,,
532,72,-113,41,world,30483403,,,,,,,,,,,,
595,67,-124,41,world,30483647,,,,,,,,,,,,
603,67,-125,41,world,30483677,,,,,,,,,,,,
617,66,-131,41,world,30483735,,,,,,,,,,,,
626,67,-133,41,world,30483766,,,,,,,,,,,,
668,70,-142,41,world,30483917,,,,,,,,,,,,
694,72,-149,41,world,30485185,,,,,,,,,,,,
700,72,-152,41,world,30485219,,,,,,,,,,,,
713,70,-160,41,world,30485280,,,,,,,,,,,,
735,68,-168,41,world,30485364,,,,,,,,,,,,
743,67,-171,41,world,30485402,,,,,,,,,,,,
752,66,-173,41,world,30485432,,,,,,,,,,,,
761,65,-176,41,world,30485467,,,,,,,,,,,,
778,64,-183,41,world,30485536,,,,,,,,,,,,
785,64,-187,41,world,30485572,,,,,,,,,,,,
794,64,-192,41,world,30485610,,,,,,,,,,,,
809,63,-195,41,world,30485690,,,,,,,,,,,,
815,63,-193,41,world,30485758,,,,,,,,,,,,
900,66,-119,41,world,30486190,,,,,,,,,,,,
911,67,-110,41,world,30486259,,,,,,,,,,,,
916,66,-107,41,world,30486294,,,,,,,,,,,,
955,71,-127,41,world,30486494,,,,,,,,,,,,
982,73,-134,41,world,30486598,,,,,,,,,,,,
1009,76,-145,41,world,30486705,,,,,,,,,,,,
1024,77,-146,41,world,30486770,,,,,,,,,,,,
1040,74,-145,41,world,30486833,,,,,,,,,,,,
1049,75,-145,41,world,30486863,,,,,,,,,,,,
1061,67,-150,41,world,30486915,,,,,,,,,,,,
1066,64,-152,41,world,30486938,,,,,,,,,,,,
1072,65,-157,41,world,30486965,,,,,,,,,,,,
1079,68,-160,41,world,30487000,,,,,,,,,,,,
1084,71,-162,41,world,30487034,,,,,,,,,,,,
1090,72,-165,41,world,30487063,,,,,,,,,,,,
1104,72,-175,41,world,30487125,,,,,,,,,,,,
1125,72,-187,41,world,30487216,,,,,,,,,,,,
1131,72,-192,41,world,30487247,,,,,,,,,,,,
1135,71,-197,41,world,30487272,,,,,,,,,,,,
1146,70,-206,41,world,30487325,,,,,,,,,,,,
1151,70,-211,41,world,30487351,,,,,,,,,,,,
1156,70,-217,41,world,30487378,,,,,,,,,,,,
1169,70,-229,41,world,30487443,,,,,,,,,,,,
1174,70,-234,41,world,30487467,,,,,,,,,,,,
1180,71,-238,41,world,30487491,,,,,,,,,,,,
1234,69,-280,41,world,30488007,,,,,,,,,,,,
1257,69,-310,41,world,30488173,,,,,,,,,,,,
1259,69,-326,41,world,30488230,,,,,,,,,,,,
1270,71,-334,41,world,30488298,,,,,,,,,,,,
1282,68,-339,41,world,30488513,,,,,,,,,,,,
1293,67,-342,41,world,30488602,,,,,,,,,,,,
1298,68,-343,41,world,30488721,,,,,,,,,,,,
1293,67,-340,41,world,30488845,,,,,,,,,,,,
1293,67,-345,41,world,30488893,,,,,,,,,,,,
1322,73,-358,41,world,30489031,,,,,,,,,,,,
1329,72,-363,41,world,30489064,,,,,,,,,,,,
1339,67,-365,41,world,30489120,,,,,,,,,,,,
1352,64,-371,41,world,30489176,,,,,,,,,,,,
1365,61,-376,41,world,30489240,,,,,,,,,,,,
1372,62,-383,41,world,30489309,,,,,,,,,,,,
1402,69,-388,41,world,30489454,,,,,,,,,,,,
1413,68,-381,41,world,30489504,,,,,,,,,,,,
1432,71,-368,41,world,30489579,,,,,,,,,,,,
1440,71,-360,41,world,30489620,,,,,,,,,,,,
1451,71,-349,41,world,30489675,,,,,,,,,,,,
1459,71,-338,41,world,30489724,,,,,,,,,,,,
1471,70,-325,41,world,30489788,,,,,,,,,,,,
1474,70,-319,41,world,30489813,,,,,,,,,,,,
1487,70,-300,41,world,30489903,,,,,,,,,,,,
1488,71,-291,41,world,30489932,,,,,,,,,,,,
1492,71,-285,41,world,30489959,,,,,,,,,,,,
1511,72,-264,41,world,30490070,,,,,,,,,,,,
1523,71,-259,41,world,30490134,,,,,,,,,,,,
1547,72,-249,41,world,30490426,,,,,,,,,,,,
1550,77,-248,41,world,30490634,,,,,,,,,,,,
1549,71,-248,41,world,30490972,,,,,,,,,,,,
1559,71,-247,41,world,30491071,,,,,,,,,,,,
1572,71,-248,41,world,30491136,,,,,,,,,,,,
1579,70,-252,41,world,30491166,,,,,,,,,,,,
1586,69,-257,41,world,30491200,,,,,,,,,,,,
1592,69,-263,41,world,30491229,,,,,,,,,,,,
1597,68,-269,41,world,30491259,,,,,,,,,,,,
1606,68,-273,41,world,30491295,,,,,,,,,,,,
1615,69,-272,41,world,30491331,,,,,,,,,,,,
