x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
1652,72,-288,7,world,19211338,,,,,,,,,,,,
1655,72,-284,7,world,28292176,,,,,,,,,,,,
1643,71,-284,7,world,28351188,,,,,,,,,,,,
1649,72,-284,7,world,28351510,,,,,,,,,,,,
1648,72,-285,7,world,28658126,,,,,,,,,,,,
1648,72,-285,7,world,29949247,,,,,,,,,,,,
1648,72,-286,7,world,29950070,,,,,,,,,,,,
1653,72,-286,7,world,29950468,,,,,,,,,,,,
1643,71,-286,7,world,42803014,,,,,,,,,,,,
1653,72,-286,7,world,42803194,,,,,,,,,,,,
1652,72,-284,7,world,42803492,,,,,,,,,,,,
