x,y,z,player,worldName,time,block,damaged,cause,weapon,target,oldWorld,itemDrop,entity,hatched,contents,itemHeld,action
-48,86,2036,3,world,13825833,,,,ARROW,COW,,,,,,,
-2445,70,626,3,world,19645863,,,,ARROW,PHANTOM,,,,,,,
-4392,69,1121,3,world,19911854,,,,ARROW,PHANTOM,,,,,,,
-4387,71,1093,3,world,20030788,,,,ARROW,PHANTOM,,,,,,,
-2449,70,592,3,world,20729750,,,,ARROW,PHANTOM,,,,,,,
4403,83,21312,3,world,20942364,,,,ARROW,ZOMBIE,,,,,,,
4393,75,21287,3,world,20956346,,,,ARROW,ZOMBIE,,,,,,,
4419,75,21333,3,world,20970083,,,,ARROW,CREEPER,,,,,,,
1804,74,16394,3,world,21018145,,,,ARROW,PHANTOM,,,,,,,
874,64,1245,3,world,21639832,,,,ARROW,ZOMBIE,,,,,,,
-2508,68,633,3,world,21662592,,,,ARROW,IRON_GOLEM,,,,,,,
-2780,70,613,3,world,26820966,,,,ARROW,CREEPER,,,,,,,
-3679,70,631,3,world,27143520,,,,ARROW,DROWNED,,,,,,,
-3656,118,1059,3,world,28575486,,,,ARROW,PHANTOM,,,,,,,
